ID,GENE_ID,Description
51361_at,51361,hook homolog 1 (Drosophila)
51362_at,51362,cell division cycle 40 homolog (S. cerevisiae)
51363_at,51363,B cell RAG associated protein
51364_at,51364,"zinc finger, MYND-type containing 10"
51365_at,51365,phospholipase A1 member A
51366_at,51366,ubiquitin protein ligase E3 component n-recognin 5
51367_at,51367,"processing of precursor 5, ribonuclease P/MRP subunit (S. cerevisiae)"
51368_at,51368,testis expressed 264
5137_at,5137,"phosphodiesterase 1C, calmodulin-dependent 70kDa"
51371_at,51371,proteasome maturation protein
51373_at,51373,mitochondrial ribosomal protein S17
51374_at,51374,chromosome 2 open reading frame 28
51375_at,51375,sorting nexin 7
51377_at,51377,ubiquitin carboxyl-terminal hydrolase L5
51378_at,51378,angiopoietin 4
51379_at,51379,cytokine receptor-like factor 3
5138_at,5138,"phosphodiesterase 2A, cGMP-stimulated"
51380_at,51380,cysteine sulfinic acid decarboxylase
51382_at,51382,"ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D"
51384_at,51384,"wingless-type MMTV integration site family, member 16"
51385_at,51385,zinc finger protein 589
51386_at,51386,"eukaryotic translation initiation factor 3, subunit E interacting protein"
51388_at,51388,nuclear import 7 homolog (S. cerevisiae)
51389_at,51389,RWD domain containing 1
5139_at,5139,"phosphodiesterase 3A, cGMP-inhibited"
51393_at,51393,"transient receptor potential cation channel, subfamily V, member 2"
51397_at,51397,COMM domain containing 10
51398_at,51398,chromosome 19 open reading frame 56
51399_at,51399,trafficking protein particle complex 4
514_at,514,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit"
5140_at,5140,"phosphodiesterase 3B, cGMP-inhibited"
51400_at,51400,protein phosphatase methylesterase 1
51406_at,51406,"nucleolar protein 7, 27kDa"
51409_at,51409,HemK methyltransferase family member 1
5141_at,5141,"phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)"
51411_at,51411,bridging integrator 2
51412_at,51412,actin-like 6B
5142_at,5142,"phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)"
51421_at,51421,angiomotin like 2
51422_at,51422,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit"
51427_at,51427,zinc finger protein 107
51428_at,51428,DEAD (Asp-Glu-Ala-Asp) box polypeptide 41
5143_at,5143,"phosphodiesterase 4C, cAMP-specific (phosphodiesterase E1 dunce homolog, Drosophila)"
51430_at,51430,chromosome 1 open reading frame 9
51433_at,51433,anaphase promoting complex subunit 5
51435_at,51435,"scavenger receptor class A, member 3"
51438_at,51438,"melanoma antigen family C, 2"
51439_at,51439,"family with sequence similarity 8, member A1"
5144_at,5144,"phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)"
51440_at,51440,hippocalcin like 4
51441_at,51441,"YTH domain family, member 2"
51442_at,51442,vestigial like 1 (Drosophila)
51444_at,51444,ring finger protein 138
51447_at,51447,inositol hexaphosphate kinase 2
51449_at,51449,prenylcysteine oxidase 1
5145_at,5145,"phosphodiesterase 6A, cGMP-specific, rod, alpha"
51450_at,51450,paired related homeobox 2
51451_at,51451,leucine carboxyl methyltransferase 1
51454_at,51454,"GULP, engulfment adaptor PTB domain containing 1"
51455_at,51455,REV1 homolog (S. cerevisiae)
51458_at,51458,"Rh family, C glycoprotein"
5146_at,5146,"phosphodiesterase 6C, cGMP-specific, cone, alpha prime"
51460_at,51460,Scm-like with four mbt domains 1
51465_at,51465,"ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)"
51466_at,51466,Enah/Vasp-like
5147_at,5147,"phosphodiesterase 6D, cGMP-specific, rod, delta"
51471_at,51471,N-acetyltransferase 8B (gene/pseudogene)
51474_at,51474,LIM domain and actin binding 1
51475_at,51475,calcium binding protein 2
51477_at,51477,myo-inositol 1-phosphate synthase A1
51479_at,51479,ankyrin repeat and FYVE domain containing 1
5148_at,5148,"phosphodiesterase 6G, cGMP-specific, rod, gamma"
5149_at,5149,"phosphodiesterase 6H, cGMP-specific, cone, gamma"
51490_at,51490,chromosome 9 open reading frame 114
51491_at,51491,hypothetical protein HSPC111
51493_at,51493,chromosome 22 open reading frame 28
51495_at,51495,protein tyrosine phosphatase-like A domain containing 1
51497_at,51497,TH1-like (Drosophila)
51499_at,51499,TP53 regulated inhibitor of apoptosis 1
515_at,515,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1"
51501_at,51501,chromosome 11 open reading frame 73
51504_at,51504,hypothetical protein HSPC152
51506_at,51506,ubiquitin-fold modifier conjugating enzyme 1
51507_at,51507,chromosome 20 open reading frame 43
5151_at,5151,phosphodiesterase 8A
51510_at,51510,chromatin modifying protein 5
51512_at,51512,G-2 and S-phase expressed 1
51513_at,51513,ets variant gene 7 (TEL2 oncogene)
51514_at,51514,denticleless homolog (Drosophila)
51517_at,51517,NCK interacting protein with SH3 domain
5152_at,5152,phosphodiesterase 9A
51526_at,51526,chromosome 20 open reading frame 111
5153_at,5153,"phosphodiesterase 1B, calmodulin-dependent"
51531_at,51531,chromosome 9 open reading frame 156
51533_at,51533,PHD finger protein 7
5154_at,5154,platelet-derived growth factor alpha polypeptide
51540_at,51540,selenocysteine lyase
51542_at,51542,vacuolar protein sorting 54 homolog (S. cerevisiae)
51547_at,51547,sirtuin (silent mating type information regulation 2 homolog) 7 (S. cerevisiae)
51548_at,51548,sirtuin (silent mating type information regulation 2 homolog) 6 (S. cerevisiae)
5155_at,5155,platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)
51550_at,51550,cyclin-dependent kinase 2-interacting protein
51552_at,51552,"RAB14, member RAS oncogene family"
51555_at,51555,peroxisomal biogenesis factor 5-like
51557_at,51557,glutamate-ammonia ligase (glutamine synthetase) domain containing 1
51559_at,51559,5'-nucleotidase domain containing 3
5156_at,5156,"platelet-derived growth factor receptor, alpha polypeptide"
51560_at,51560,"RAB6B, member RAS oncogene family"
51561_at,51561,"interleukin 23, alpha subunit p19"
51562_at,51562,MAP3K12 binding inhibitory protein 1
51564_at,51564,histone deacetylase 7A
51566_at,51566,"armadillo repeat containing, X-linked 3"
51567_at,51567,TRAF and TNF receptor associated protein
51569_at,51569,ubiquitin-fold modifier 1
5157_at,5157,platelet-derived growth factor receptor-like
51571_at,51571,"family with sequence similarity 49, member B"
51573_at,51573,membrane interacting protein of RGS16
51574_at,51574,"La ribonucleoprotein domain family, member 7"
51575_at,51575,"ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)"
5158_at,5158,"phosphodiesterase 6B, cGMP-specific, rod, beta (congenital stationary night blindness 3, autosomal dominant)"
51582_at,51582,antizyme inhibitor 1
51585_at,51585,"PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)"
51586_at,51586,mediator complex subunit 15
51588_at,51588,"protein inhibitor of activated STAT, 4"
5159_at,5159,"platelet-derived growth factor receptor, beta polypeptide"
51592_at,51592,tripartite motif-containing 33
51593_at,51593,ARS2 protein
51594_at,51594,neuroblastoma-amplified protein
51596_at,51596,cutA divalent cation tolerance homolog (E. coli)
51599_at,51599,lipolysis stimulated lipoprotein receptor
516_at,516,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)"
5160_at,5160,pyruvate dehydrogenase (lipoamide) alpha 1
51601_at,51601,lipoyltransferase 1
51603_at,51603,KIAA0859
51604_at,51604,"phosphatidylinositol glycan anchor biosynthesis, class T"
51606_at,51606,"ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H"
5161_at,5161,pyruvate dehydrogenase (lipoamide) alpha 2
51611_at,51611,DPH5 homolog (S. cerevisiae)
51614_at,51614,ERGIC and golgi 3
51616_at,51616,"TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa"
51617_at,51617,HMP19 protein
51619_at,51619,ubiquitin-conjugating enzyme E2D 4 (putative)
5162_at,5162,pyruvate dehydrogenase (lipoamide) beta
51621_at,51621,Kruppel-like factor 13
51626_at,51626,"dynein, cytoplasmic 2, light intermediate chain 1"
5163_at,5163,"pyruvate dehydrogenase kinase, isozyme 1"
51631_at,51631,LUC7-like 2 (S. cerevisiae)
51634_at,51634,"RNA binding motif protein, X-linked 2"
51635_at,51635,dehydrogenase/reductase (SDR family) member 7
51637_at,51637,chromosome 14 open reading frame 166
5164_at,5164,"pyruvate dehydrogenase kinase, isozyme 2"
51642_at,51642,mitochondrial ribosomal protein L48
51643_at,51643,transmembrane BAX inhibitor motif containing 4
51646_at,51646,yippee-like 5 (Drosophila)
51647_at,51647,"family with sequence similarity 96, member B"
5165_at,5165,"pyruvate dehydrogenase kinase, isozyme 3"
51650_at,51650,mitochondrial ribosomal protein S33
51651_at,51651,peptidyl-tRNA hydrolase 2
51652_at,51652,vacuolar protein sorting 24 homolog (S. cerevisiae)
51654_at,51654,CDK5 regulatory subunit associated protein 1
51657_at,51657,serine/threonine/tyrosine interacting-like 1
51659_at,51659,GINS complex subunit 2 (Psf2 homolog)
5166_at,5166,"pyruvate dehydrogenase kinase, isozyme 4"
51660_at,51660,brain protein 44-like
51663_at,51663,zinc finger RNA binding protein
51665_at,51665,ankyrin repeat and SOCS box-containing 1
51666_at,51666,ankyrin repeat and SOCS box-containing 4
51668_at,51668,chromosome 1 open reading frame 41
51669_at,51669,transmembrane protein 66
5167_at,5167,ectonucleotide pyrophosphatase/phosphodiesterase 1
51673_at,51673,tubulin polymerization-promoting protein family member 3
51678_at,51678,"membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)"
5168_at,5168,ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)
51686_at,51686,ornithine decarboxylase antizyme 3
51690_at,51690,"LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)"
51691_at,51691,"LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae)"
51693_at,51693,trafficking protein particle complex 2-like
51696_at,51696,headcase homolog (Drosophila)
517_at,517,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)"
5170_at,5170,3-phosphoinositide dependent protein kinase-1
51700_at,51700,cytochrome b5 reductase 2
51701_at,51701,nemo-like kinase
51702_at,51702,"peptidyl arginine deiminase, type III"
51703_at,51703,acyl-CoA synthetase long-chain family member 5
51704_at,51704,"G protein-coupled receptor, family C, group 5, member B"
51705_at,51705,endomucin
51706_at,51706,cytochrome b5 reductase 1
51710_at,51710,zinc finger protein 44
51714_at,51714,selenoprotein T
51715_at,51715,"RAB23, member RAS oncogene family"
51716_at,51716,carboxylesterase 4-like
51719_at,51719,calcium binding protein 39
5172_at,5172,"solute carrier family 26, member 4"
51720_at,51720,ubiquitin interaction motif containing 1
51725_at,51725,F-box protein 40
51727_at,51727,cytidylate kinase
51728_at,51728,"polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa"
51729_at,51729,WW domain binding protein 11
5173_at,5173,prodynorphin
51733_at,51733,"ureidopropionase, beta"
51734_at,51734,"selenoprotein X, 1"
51735_at,51735,Rap guanine nucleotide exchange factor (GEF) 6
5174_at,5174,PDZ domain containing 1
51741_at,51741,WW domain containing oxidoreductase
51742_at,51742,AT rich interactive domain 4B (RBP1-like)
51744_at,51744,"CD244 molecule, natural killer cell receptor 2B4"
51747_at,51747,cisplatin resistance-associated overexpressed protein
5175_at,5175,platelet/endothelial cell adhesion molecule (CD31 antigen)
51750_at,51750,regulator of telomere elongation helicase 1
51751_at,51751,"HIG1 domain family, member 1B"
51752_at,51752,type 1 tumor necrosis factor receptor shedding aminopeptidase regulator
51754_at,51754,chromosome 9 open reading frame 127
51755_at,51755,"Cdc2-related kinase, arginine/serine-rich"
51759_at,51759,chromosome 9 open reading frame 78
5176_at,5176,"serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1"
51760_at,51760,synaptotagmin XVII
51761_at,51761,"ATPase, aminophospholipid transporter-like, Class I, type 8A, member 2"
51762_at,51762,"RAB8B, member RAS oncogene family"
51763_at,51763,skeletal muscle and kidney enriched inositol phosphatase
51764_at,51764,"guanine nucleotide binding protein (G protein), gamma 13"
51765_at,51765,serine/threonine protein kinase MST4
51768_at,51768,transmembrane 7 superfamily member 3
51773_at,51773,remodeling and spacing factor 1
51776_at,51776,sterile alpha motif and leucine zipper containing kinase AZK
51778_at,51778,myozenin 2
5178_at,5178,paternally expressed 3
51780_at,51780,jumonji domain containing 1B
5179_at,5179,proenkephalin
518_at,518,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)"
51805_at,51805,"coenzyme Q3 homolog, methyltransferase (S. cerevisiae)"
51806_at,51806,calmodulin-like 5
51807_at,51807,"tubulin, alpha 8"
51809_at,51809,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)
51816_at,51816,"cat eye syndrome chromosome region, candidate 1"
5184_at,5184,peptidase D
5187_at,5187,period homolog 1 (Drosophila)
5188_at,5188,PET112-like (yeast)
5189_at,5189,peroxisome biogenesis factor 1
5190_at,5190,peroxisomal biogenesis factor 6
5191_at,5191,peroxisomal biogenesis factor 7
5192_at,5192,peroxisome biogenesis factor 10
5193_at,5193,peroxisomal biogenesis factor 12
5194_at,5194,peroxisome biogenesis factor 13
5195_at,5195,peroxisomal biogenesis factor 14
5196_at,5196,platelet factor 4 (chemokine (C-X-C motif) ligand 4)
5197_at,5197,platelet factor 4 variant 1
5198_at,5198,phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)
5199_at,5199,complement factor properdin
52_at,52,"acid phosphatase 1, soluble"
5201_at,5201,prefoldin subunit 1
5202_at,5202,prefoldin subunit 2
5203_at,5203,prefoldin subunit 4
5204_at,5204,prefoldin subunit 5
5207_at,5207,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1"
5208_at,5208,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2"
5209_at,5209,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
521_at,521,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit E"
5210_at,5210,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4"
5211_at,5211,"phosphofructokinase, liver"
5213_at,5213,"phosphofructokinase, muscle"
5214_at,5214,"phosphofructokinase, platelet"
5216_at,5216,profilin 1
5217_at,5217,profilin 2
5218_at,5218,PFTAIRE protein kinase 1
522_at,522,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6"
5224_at,5224,phosphoglycerate mutase 2 (muscle)
5225_at,5225,progastricsin (pepsinogen C)
5226_at,5226,phosphogluconate dehydrogenase
5228_at,5228,"placental growth factor, vascular endothelial growth factor-related protein"
5229_at,5229,"protein geranylgeranyltransferase type I, beta subunit"
523_at,523,"ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A"
5230_at,5230,phosphoglycerate kinase 1
5232_at,5232,phosphoglycerate kinase 2
5236_at,5236,phosphoglucomutase 1
5238_at,5238,phosphoglucomutase 3
5239_at,5239,phosphoglucomutase 5
5241_at,5241,progesterone receptor
5243_at,5243,"ATP-binding cassette, sub-family B (MDR/TAP), member 1"
5244_at,5244,"ATP-binding cassette, sub-family B (MDR/TAP), member 4"
5245_at,5245,prohibitin
525_at,525,"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1 (Renal tubular acidosis with deafness)"
5250_at,5250,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3"
5251_at,5251,"phosphate regulating endopeptidase homolog, X-linked (hypophosphatemia, vitamin D resistant rickets)"
5252_at,5252,PHD finger protein 1
5253_at,5253,PHD finger protein 2
5255_at,5255,"phosphorylase kinase, alpha 1 (muscle)"
5256_at,5256,"phosphorylase kinase, alpha 2 (liver)"
5257_at,5257,"phosphorylase kinase, beta"
526_at,526,"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2"
5260_at,5260,"phosphorylase kinase, gamma 1 (muscle)"
5261_at,5261,"phosphorylase kinase, gamma 2 (testis)"
5264_at,5264,phytanoyl-CoA 2-hydroxylase
5265_at,5265,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1"
5266_at,5266,"peptidase inhibitor 3, skin-derived (SKALP)"
5267_at,5267,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 4"
5268_at,5268,"serpin peptidase inhibitor, clade B (ovalbumin), member 5"
5269_at,5269,"serpin peptidase inhibitor, clade B (ovalbumin), member 6"
527_at,527,"ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c"
5270_at,5270,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2"
5271_at,5271,"serpin peptidase inhibitor, clade B (ovalbumin), member 8"
5272_at,5272,"serpin peptidase inhibitor, clade B (ovalbumin), member 9"
5273_at,5273,"serpin peptidase inhibitor, clade B (ovalbumin), member 10"
5274_at,5274,"serpin peptidase inhibitor, clade I (neuroserpin), member 1"
5275_at,5275,"serpin peptidase inhibitor, clade B (ovalbumin), member 13"
5276_at,5276,"serpin peptidase inhibitor, clade I (pancpin), member 2"
5277_at,5277,"phosphatidylinositol glycan anchor biosynthesis, class A (paroxysmal nocturnal hemoglobinuria)"
5279_at,5279,"phosphatidylinositol glycan anchor biosynthesis, class C"
528_at,528,"ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1"
5281_at,5281,"phosphatidylinositol glycan anchor biosynthesis, class F"
5283_at,5283,"phosphatidylinositol glycan anchor biosynthesis, class H"
5284_at,5284,polymeric immunoglobulin receptor
5287_at,5287,"phosphoinositide-3-kinase, class 2, beta polypeptide"
5288_at,5288,"phosphoinositide-3-kinase, class 2, gamma polypeptide"
5289_at,5289,"phosphoinositide-3-kinase, class 3"
529_at,529,"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1"
5290_at,5290,"phosphoinositide-3-kinase, catalytic, alpha polypeptide"
5291_at,5291,"phosphoinositide-3-kinase, catalytic, beta polypeptide"
5292_at,5292,pim-1 oncogene
5293_at,5293,"phosphoinositide-3-kinase, catalytic, delta polypeptide"
5294_at,5294,"phosphoinositide-3-kinase, catalytic, gamma polypeptide"
5295_at,5295,"phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)"
5296_at,5296,"phosphoinositide-3-kinase, regulatory subunit 2 (p85 beta)"
5297_at,5297,"phosphatidylinositol 4-kinase, catalytic, alpha"
5298_at,5298,"phosphatidylinositol 4-kinase, catalytic, beta"
53_at,53,"acid phosphatase 2, lysosomal"
5300_at,5300,protein (peptidylprolyl cis/trans isomerase) NIMA-interacting 1
5301_at,5301,protein (peptidylprolyl cis/trans isomerase) NIMA-interacting 1-like
5303_at,5303,"protein (peptidylprolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin)"
5304_at,5304,prolactin-induced protein
5305_at,5305,"phosphatidylinositol-5-phosphate 4-kinase, type II, alpha"
5306_at,5306,"phosphatidylinositol transfer protein, alpha"
5307_at,5307,paired-like homeodomain 1
5308_at,5308,paired-like homeodomain 2
5309_at,5309,paired-like homeodomain 3
5310_at,5310,polycystic kidney disease 1 (autosomal dominant)
5311_at,5311,polycystic kidney disease 2 (autosomal dominant)
5313_at,5313,"pyruvate kinase, liver and RBC"
5315_at,5315,"pyruvate kinase, muscle"
5316_at,5316,PBX/knotted 1 homeobox 1
5317_at,5317,plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)
5318_at,5318,plakophilin 2
5319_at,5319,"phospholipase A2, group IB (pancreas)"
5320_at,5320,"phospholipase A2, group IIA (platelets, synovial fluid)"
5321_at,5321,"phospholipase A2, group IVA (cytosolic, calcium-dependent)"
5322_at,5322,"phospholipase A2, group V"
5324_at,5324,pleiomorphic adenoma gene 1
5325_at,5325,pleiomorphic adenoma gene-like 1
5326_at,5326,pleiomorphic adenoma gene-like 2
5327_at,5327,"plasminogen activator, tissue"
5328_at,5328,"plasminogen activator, urokinase"
5329_at,5329,"plasminogen activator, urokinase receptor"
533_at,533,"ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b"
5330_at,5330,"phospholipase C, beta 2"
5331_at,5331,"phospholipase C, beta 3 (phosphatidylinositol-specific)"
5332_at,5332,"phospholipase C, beta 4"
5333_at,5333,"phospholipase C, delta 1"
53335_at,53335,B-cell CLL/lymphoma 11A (zinc finger protein)
53339_at,53339,BTB (POZ) domain containing 1
5334_at,5334,phospholipase C-like 1
53340_at,53340,sperm autoantigenic protein 17
53343_at,53343,nudix (nucleoside diphosphate linked moiety X)-type motif 9
53346_at,53346,transmembrane 6 superfamily member 1
53347_at,53347,"ubiquitin associated and SH3 domain containing, A"
5335_at,5335,"phospholipase C, gamma 1"
53353_at,53353,low density lipoprotein-related protein 1B (deleted in tumors)
53358_at,53358,SHC (Src homology 2 domain containing) transforming protein 3
5336_at,5336,"phospholipase C, gamma 2 (phosphatidylinositol-specific)"
5337_at,5337,"phospholipase D1, phosphatidylcholine-specific"
53371_at,53371,nucleoporin 54kDa
5338_at,5338,phospholipase D2
5339_at,5339,"plectin 1, intermediate filament binding protein 500kDa"
534_at,534,"ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2"
5340_at,5340,plasminogen
53405_at,53405,chloride intracellular channel 5
53407_at,53407,syntaxin 18
5341_at,5341,pleckstrin
5345_at,5345,"serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2"
5346_at,5346,perilipin
5347_at,5347,polo-like kinase 1 (Drosophila)
5348_at,5348,FXYD domain containing ion transport regulator 1 (phospholemman)
5349_at,5349,FXYD domain containing ion transport regulator 3
535_at,535,"ATPase, H+ transporting, lysosomal V0 subunit a1"
5350_at,5350,phospholamban
5351_at,5351,"procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1"
5352_at,5352,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2"
5354_at,5354,"proteolipid protein 1 (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated)"
5355_at,5355,proteolipid protein 2 (colonic epithelium-enriched)
5357_at,5357,plastin 1 (I isoform)
5358_at,5358,plastin 3 (T isoform)
5359_at,5359,phospholipid scramblase 1
5360_at,5360,phospholipid transfer protein
5361_at,5361,plexin A1
53615_at,53615,methyl-CpG binding domain protein 3
53616_at,53616,ADAM metallopeptidase domain 22
5362_at,5362,plexin A2
53630_at,53630,"beta-carotene 15,15'-monooxygenase 1"
53635_at,53635,prostate tumor overexpressed gene 1
53637_at,53637,"endothelial differentiation, sphingolipid G-protein-coupled receptor, 8"
5364_at,5364,plexin B1
5365_at,5365,plexin B3
5366_at,5366,phorbol-12-myristate-13-acetate-induced protein 1
5367_at,5367,pro-melanin-concentrating hormone
5368_at,5368,prepronociceptin
537_at,537,"ATPase, H+ transporting, lysosomal accessory protein 1"
5371_at,5371,promyelocytic leukemia
5372_at,5372,phosphomannomutase 1
5373_at,5373,phosphomannomutase 2
5375_at,5375,peripheral myelin protein 2
5376_at,5376,peripheral myelin protein 22
5378_at,5378,PMS1 postmeiotic segregation increased 1 (S. cerevisiae)
5379_at,5379,postmeiotic segregation increased 2-like 1
538_at,538,"ATPase, Cu++ transporting, alpha polypeptide (Menkes syndrome)"
53820_at,53820,Down syndrome critical region gene 6
53822_at,53822,FXYD domain containing ion transport regulator 7
53826_at,53826,FXYD domain containing ion transport regulator 6
53827_at,53827,FXYD domain containing ion transport regulator 5
53829_at,53829,"purinergic receptor P2Y, G-protein coupled, 13"
53832_at,53832,"interleukin 20 receptor, alpha"
53836_at,53836,G protein-coupled receptor 87
53838_at,53838,chromosome 11 open reading frame 24
53841_at,53841,mucin-like protocadherin
539_at,539,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)"
53904_at,53904,myosin IIIA
53905_at,53905,dual oxidase 1
53916_at,53916,"RAB4B, member RAS oncogene family"
53918_at,53918,pelota homolog (Drosophila)
53919_at,53919,"solute carrier organic anion transporter family, member 1C1"
5393_at,5393,exosome component 9
5394_at,5394,exosome component 10
53942_at,53942,contactin 5
53944_at,53944,"casein kinase 1, gamma 1"
53947_at,53947,"alpha 1,4-galactosyltransferase (globotriaosylceramide synthase)"
5396_at,5396,paired related homeobox 1
54_at,54,"acid phosphatase 5, tartrate resistant"
540_at,540,"ATPase, Cu++ transporting, beta polypeptide"
54014_at,54014,bromodomain and WD repeat domain containing 1
54020_at,54020,"solute carrier family 37 (glycerol-3-phosphate transporter), member 1"
54039_at,54039,poly(rC) binding protein 3
5406_at,5406,pancreatic lipase
54069_at,54069,chromosome 21 open reading frame 45
5407_at,5407,pancreatic lipase-related protein 1
5408_at,5408,pancreatic lipase-related protein 2
5409_at,5409,phenylethanolamine N-methyltransferase
54093_at,54093,SET domain containing 4
54101_at,54101,receptor-interacting serine-threonine kinase 4
54107_at,54107,"polymerase (DNA directed), epsilon 3 (p17 subunit)"
5411_at,5411,"pinin, desmosome associated protein"
54112_at,54112,G protein-coupled receptor 88
5412_at,5412,ubiquitin-like 3
5413_at,5413,septin 5
5414_at,5414,septin 4
541469_at,541469,hypothetical protein LOC541469
54148_at,54148,mitochondrial ribosomal protein L39
54149_at,54149,chromosome 21 open reading frame 91
54187_at,54187,N-acetylneuraminic acid synthase (sialic acid synthase)
5420_at,5420,podocalyxin-like
54205_at,54205,"cytochrome c, somatic"
54207_at,54207,"potassium channel, subfamily K, member 10"
54209_at,54209,triggering receptor expressed on myeloid cells 2
54210_at,54210,triggering receptor expressed on myeloid cells 1
5422_at,5422,"polymerase (DNA directed), alpha 1"
5423_at,5423,"polymerase (DNA directed), beta"
5424_at,5424,"polymerase (DNA directed), delta 1, catalytic subunit 125kDa"
5425_at,5425,"polymerase (DNA directed), delta 2, regulatory subunit 50kDa"
5426_at,5426,"polymerase (DNA directed), epsilon"
5427_at,5427,"polymerase (DNA directed), epsilon 2 (p59 subunit)"
5428_at,5428,"polymerase (DNA directed), gamma"
5429_at,5429,"polymerase (DNA directed), eta"
5430_at,5430,"polymerase (RNA) II (DNA directed) polypeptide A, 220kDa"
5431_at,5431,"polymerase (RNA) II (DNA directed) polypeptide B, 140kDa"
5432_at,5432,"polymerase (RNA) II (DNA directed) polypeptide C, 33kDa"
54328_at,54328,G protein-coupled receptor 173
54329_at,54329,G protein-coupled receptor 85
5433_at,5433,polymerase (RNA) II (DNA directed) polypeptide D
54332_at,54332,ganglioside-induced differentiation-associated protein 1
5434_at,5434,"polymerase (RNA) II (DNA directed) polypeptide E, 25kDa"
54344_at,54344,dolichyl-phosphate mannosyltransferase polypeptide 3
54345_at,54345,SRY (sex determining region Y)-box 18
5435_at,5435,polymerase (RNA) II (DNA directed) polypeptide F
5436_at,5436,polymerase (RNA) II (DNA directed) polypeptide G
54360_at,54360,cytokine-like 1
54361_at,54361,"wingless-type MMTV integration site family, member 4"
54363_at,54363,hydroxyacid oxidase (glycolate oxidase) 1
5437_at,5437,polymerase (RNA) II (DNA directed) polypeptide H
5438_at,5438,"polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa"
54386_at,54386,"telomeric repeat binding factor 2, interacting protein"
5439_at,5439,"polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa"
5440_at,5440,"polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa"
54407_at,54407,"solute carrier family 38, member 2"
5441_at,5441,"polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa"
54413_at,54413,neuroligin 3
5442_at,5442,polymerase (RNA) mitochondrial (DNA directed)
5443_at,5443,proopiomelanocortin (adrenocorticotropin/ beta-lipotropin/ alpha-melanocyte stimulating hormone/ beta-melanocyte stimulating hormone/ beta-endorphin)
54431_at,54431,"DnaJ (Hsp40) homolog, subfamily C, member 10"
54432_at,54432,"Yip1 domain family, member 1"
